SRR4425681,SRR4425689,SRR4425715,SRR4425701,SRR4425700,SRR4425686,SRR4425680,SRR4425695,SRR4425678,SRR4425687,SRR4425719,SRR4425688,SRR4425667,SRR4425699,SRR4425705,SRR4425716,SRR4425713,SRR4425708,SRR4425707,SRR4425694,SRR4425690,SRR4425659,SRR4425683,SRR4425685,SRR4425668,SRR4425693,SRR4425704,SRR4425670,SRR4425662,SRR4425712,SRR4425676,SRR4425706,SRR4425677,SRR4425702,SRR4425656,SRR4425660,SRR4425718,SRR4425709,SRR4425703,SRR4425672,SRR4425673,SRR4425697,SRR4425710,SRR4425684,SRR4425666,SRR4425714,SRR4425711,SRR4425717,SRR4425671,SRR4425679,SRR4425661,SRR4425698,SRR4425669,SRR4425692,SRR4425664,SRR4425657,SRR4425675,SRR4425691,SRR4425696,SRR4425658,SRR4425682,SRR4425663,SRR4425665,SRR4425674
MEG_2916|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,0,0,428.0,0,0,0,0,0,0,0,827.0,0,0,0,166.0,0,1106.0,0,0,0,0,0,0,0,0,0,149.0,0,54.0,743.0,0,61.0,0,0,0,0,505.0,0,0,0,0,17.0,0,0,339.0,0,137.0,0,0,0,0,37.0,26.0,0,422.0,0,0,0,0,1160.0,0,267.0,182.0,0
MEG_751|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME,0,0,185.0,340.0,0,0,0,0,0,0,0,0,11.0,0,19.0,0,0,0,0,0,0,26.0,0,0,0,0,76.0,11.0,0,0,0,0,0,1723.0,0,7.0,0,0,1369.0,0,0,0,484.0,0,43.0,1929.0,1462.0,0,0,0,0,0,0,0,26.0,0,0,0,0,0,0,27.0,8.0,0
MEG_7089|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETK,0,0,26672.0,7215.0,0,222.0,595.0,0,222.0,0,0,0,0,0,201.0,0,0,0,0,0,0,271.0,184.0,224.0,0,0,3750.0,0,123.0,974.0,0,0,46.0,8231.0,0,196.0,134.0,0,12929.0,0,0,58.0,69221.0,119.0,211.0,83591.0,46724.0,0,0,172.0,0,0,0,0,137.0,0,0,0,0,0,0,0,0,0
MEG_6744|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,122.0,54.0,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.0,0,0,0,0,0,0,24.0,0,0,0,144.0,0,0,0,0,0,0,0,0,76.0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_6545|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB,72.0,0,175140.0,30468.0,21085.0,450.0,52.0,48.0,162.0,0,10660.0,16.0,214.0,13198.0,4745.0,0,16982.0,8.0,91.0,0,11.0,92596.0,126.0,59.0,136.0,617.0,31291.0,137.0,86017.0,5381.0,59.0,18809.0,69.0,26515.0,0,53561.0,8512.0,104.0,13581.0,0,117.0,42203.0,80662.0,156.0,8852.0,59590.0,93049.0,0,0,203.0,88315.0,32053.0,166.0,0,13390.0,18925.0,82.0,0,104.0,64375.0,117.0,6464.0,4068.0,43.0
MEG_7238|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,105.0,0,64418.0,32823.0,16480.0,246.0,63.0,26.0,186.0,149.0,128620.0,0,531.0,9654.0,15991.0,0,158304.0,58.0,104.0,0,244.0,220247.0,234.0,104.0,143.0,0,6507.0,71.0,99214.0,188300.0,107.0,1813.0,25.0,14200.0,0,66540.0,141693.0,0,9229.0,0,98.0,47049.0,162100.0,0,4994.0,93396.0,7574.0,0,0,52.0,34238.0,16867.0,258.0,0,6637.0,6584.0,192.0,0,123.0,1817.0,331.0,3587.0,2278.0,65.0
MEG_2465|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,0,0,0,0,0,0,0,0,0,78.0,0,0,0,0,51.0,0,0,0,0,0,0,0,72.0,0,0,0,0,0,119.0,0,0,0,0,0,0,0,0,784.0,0
MEG_1124|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.0,0,0,0,0,0,0,0,0,0,42.0,0,0,0,0,0,0,29.0,0,0
MEG_7460|Drugs|Glycopeptides|VanB-type_regulator|VANRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,0,0,0,0,0,0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,0,0,55.0,0,0,0,0,0,263.0,137.0,0,0,77.0,0,0,0,0,0,0,29.0,48.0,0
MEG_1215|Drugs|Bacitracin|Bacitracin_ABC_transporter|BCRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,0,0,0,0,0,0,83.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_7039|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,0,0,51366.0,7316.0,4318.0,175.0,0,0,0,0,360.0,0,0,2882.0,0,0,4280.0,0,0,0,0,17013.0,0,0,0,0,8529.0,0,16414.0,102.0,22.0,4807.0,0,2294.0,0,13270.0,0,61.0,997.0,0,40.0,11769.0,17979.0,0,132.0,15750.0,9155.0,0,0,62.0,27274.0,9225.0,0,0,132.0,2357.0,49.0,0,0,80.0,0,70.0,28.0,0
MEG_6598|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,5415.0,2548.0,114.0,10.0,0,0,0,0,154.0,0,3972.0,262.0,826.0,0,80.0,0,0,0,0,499.0,0,17.0,1096.0,0,1247.0,305.0,2181.0,417.0,0,128.0,0,20174.0,0,384.0,63.0,0,10468.0,0,0,291.0,5484.0,0,24201.0,25319.0,18342.0,0,0,0,1016.0,1146.0,1189.0,0,30510.0,560.0,0,0,0,0,0,17141.0,8672.0,0
MEG_791|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,3586.0,1224.0,328.0,0,0,0,0,0,116.0,0,254.0,501.0,223.0,0,26.0,0,0,0,0,1410.0,0,0,66.0,0,1001.0,38.0,2244.0,184.0,0,20.0,0,2800.0,0,1077.0,60.0,0,672.0,0,0,503.0,1805.0,0,756.0,3745.0,7016.0,0,0,0,4211.0,2748.0,77.0,0,755.0,26.0,0,0,0,528.0,0,439.0,322.0,0
MEG_6624|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,0,7456.0,696.0,144.0,37.0,0,12.0,0,0,0,0,1087.0,278.0,182.0,0,323.0,0,0,0,0,498.0,0,0,302.0,0,970.0,84.0,187.0,171.0,0,255.0,0,472.0,0,960.0,142.0,0,288.0,0,0,73.0,1580.0,0,7551.0,2890.0,1710.0,0,0,0,4437.0,1500.0,313.0,0,10472.0,234.0,0,0,0,451.0,0,5681.0,3110.0,0
MEG_7184|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,1107.0,383.0,46128.0,38337.0,80705.0,90.0,184.0,345.0,263.0,1380.0,676820.0,458.0,827.0,78689.0,143303.0,0,2193892.0,743.0,2001.0,0,1247.0,1064672.0,367.0,491.0,179.0,779.0,1889.0,490.0,773177.0,1454843.0,1595.0,50231.0,405.0,150495.0,0,589009.0,873589.0,1137.0,26809.0,0,1693.0,444204.0,249596.0,31.0,13427.0,465648.0,36188.0,0,0,29.0,441867.0,115009.0,353.0,0,16124.0,79317.0,2414.0,0,1178.0,24519.0,2443.0,9020.0,6968.0,1103.0
MEG_6023|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3253|Biocides|Acid_resistance|Acid_resistance_protein|HDEA,109.0,0,54323.0,20591.0,5824.0,464.0,45.0,61.0,126.0,0,4191.0,0,63.0,5383.0,1624.0,0,11077.0,5.0,61.0,0,11.0,56290.0,157.0,76.0,75.0,467.0,19489.0,37.0,49432.0,3381.0,40.0,6672.0,34.0,12529.0,0,37239.0,5777.0,71.0,6623.0,0,73.0,21701.0,49665.0,232.0,546.0,36656.0,76265.0,0,0,185.0,50405.0,15423.0,68.0,0,685.0,6316.0,44.0,0,91.0,24158.0,183.0,284.0,318.0,32.0
MEG_7052|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETB,35.0,0,91023.0,11436.0,7136.0,266.0,0,51.0,54.0,0,686.0,0,0,4288.0,60.0,0,7419.0,0,37.0,0,0,29749.0,60.0,42.0,40.0,0,12777.0,0,29638.0,170.0,30.0,8399.0,0,3304.0,0,23174.0,0,54.0,1479.0,0,65.0,18377.0,31335.0,28.0,179.0,26575.0,15073.0,0,0,91.0,49186.0,15135.0,35.0,0,242.0,3788.0,58.0,0,23.0,128.0,25.0,67.0,60.0,0
MEG_6508|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|SILR,0,0,8141.0,1721.0,4234.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4222.0,0,0,0,0,875.0,0,7542.0,0,0,0,0,794.0,0,3092.0,0,0,168.0,0,0,2495.0,5620.0,0,587.0,1781.0,2648.0,0,0,0,1929.0,396.0,0,0,735.0,0,0,0,0,0,0,342.0,297.0,0
MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD,166.0,0,246.0,313.0,171.0,810.0,158.0,111.0,376.0,0,0,0,0,119.0,0,0,0,49.0,82.0,0,0,286.0,207.0,146.0,0,880.0,569.0,0,72.0,0,164.0,250.0,117.0,0,0,390.0,0,246.0,102.0,0,200.0,0,164.0,268.0,0,0,0,0,0,533.0,0,39.0,0,0,0,0,165.0,0,163.0,912.0,249.0,0,0,72.0
MEG_3753|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG,112.0,0,124542.0,26846.0,17290.0,557.0,62.0,92.0,199.0,0,8499.0,0,180.0,11044.0,3836.0,0,16337.0,0,114.0,0,0,92274.0,156.0,93.0,101.0,837.0,28999.0,114.0,86485.0,5247.0,60.0,17362.0,85.0,23166.0,0,55458.0,8118.0,136.0,12417.0,0,121.0,35618.0,75558.0,247.0,1120.0,59035.0,102705.0,0,0,226.0,90526.0,27806.0,91.0,0,1409.0,15508.0,91.0,0,95.0,57990.0,168.0,791.0,608.0,52.0
MEG_3805|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA,0,0,43206.0,1074.0,0,120.0,0,0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19045.0,0,8781.0,0,368.0,0,0,0,0,0,53.0,0,9561.0,0,0,0,0,0,0,5511.0,3335.0,0
MEG_214|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,0,0,0,114.0,0,0,0,0,0,0,0,0,0,0,0,36.0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768.0,0,0,0,0,0,0,0,39.0,0,874.0,0,0,0,0,0,0,460.0,382.0,0
MEG_1158|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSC,0,0,532.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960.0,0,0,1092.0,378.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_1085|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,0,0,18423.0,10325.0,2402.0,46.0,0,0,14.0,0,1760.0,0,9753.0,1482.0,1006.0,13.0,1330.0,0,0,0,0,7874.0,0,0,2743.0,0,8740.0,752.0,2732.0,657.0,0,784.0,0,3357.0,0,2778.0,753.0,0,4128.0,0,0,1859.0,8806.0,14.0,31958.0,9167.0,7600.0,0,0,24.0,1945.0,4795.0,3558.0,0,37803.0,6772.0,0,0,0,5629.0,0,23752.0,10714.0,0
MEG_6687|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,120.0,143.0,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.0,0,33.0,0,0,0,0,52.0,0,0,0,200.0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_6539|Biocides|Multi-biocide_resistance|Multi-biocide_MFS_efflux_pump|SMVA,0,0,0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_2080|Metals|Copper_resistance|Copper_resistance_regulator|COPY,0,7.0,776.0,461.0,0,0,0,0,0,0,298.0,0,0,0,103.0,0,595.0,0,0,0,0,0,0,0,0,67.0,373.0,0,0,128.0,0,472.0,0,436.0,0,0,15919.0,0,414.0,0,0,0,1508.0,0,149.0,1945.0,1662.0,0,0,0,0,0,0,0,115.0,18.0,0,0,0,4794.0,0,125.0,89.0,0
MEG_1892|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_3994|Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260.0,0,0,0,0,0,0,0,1415.0,0,0,0,0,0,0,1272.0,0,0,0,0,1459.0,0,0,0,0,0,0,0,0,1514.0,0,0,0,2033.0,1280.0,0,0,0,0,0,0,0,0,0,0
MEG_1596|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.0,0,0,0,0,0,0,0,0,0,79.0,0,0,0,0,0,0,29.0,0,0
MEG_7509|Drugs|Glycopeptides|VanD-type_regulator|VANSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5353|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8876.0,0,6649.0,0,2971.0,0,0,0,0,0,0,0,9460.0,0,0,0,0,0,0,0,2836.0,0
MEG_6017|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0,0
MEG_1990|Drugs|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,137.0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,0,0,0,0
MEG_6938|Drugs|betalactams|Class_A_betalactamases|TEM,0,0,427.0,198.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556.0,0,0,0,0,78.0,0,641.0,0,0,0,0,0,0,175.0,0,0,217.0,0,0,0,791.0,0,53.0,414.0,0,0,0,0,355.0,189.0,0,0,52.0,69.0,0,0,0,0,0,32.0,38.0,0
MEG_2482|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,0,0,48.0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0,0,0,0,0,23.0,0,0,0,0,0,63.0,126.0,50.0,0,0,0,0,19.0,0,0,35.0,0,0,0,0,0,0,0,16.0,0
MEG_2075|Metals|Copper_resistance|Copper_resistance_regulator|COPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,0,0,0,0,0,60.0,0,0,0,0,0,0,0,0,316.0,0
MEG_733|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|AMVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.0,0,0,0,0,0,0,0,0,0,230.0,0,0,0,0,0,0,207.0,170.0,0
MEG_7495|Drugs|Glycopeptides|VanB-type_regulator|VANSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.0,153.0,0,0,0,0,0,0,0,0,0,0,0,0
MEG_5332|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,105.0,0,105684.0,33090.0,5621.0,437.0,80.0,71.0,228.0,0,4879.0,0,143.0,12479.0,6369.0,0,11319.0,0,0,0,0,35180.0,199.0,99.0,82.0,709.0,21885.0,176.0,61398.0,4905.0,71.0,9318.0,92.0,48601.0,0,51432.0,5764.0,47.0,16943.0,0,63.0,27170.0,76277.0,296.0,1740.0,62935.0,125606.0,0,0,227.0,75711.0,24491.0,102.0,0,2583.0,4284.0,0,0,85.0,59900.0,95.0,1407.0,988.0,0
MEG_5206|Drugs|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,775.0,0,0,0,0,0,0,0,47.0,0,912.0,0,0,0,0,0,0,513.0,327.0,0
MEG_2844|Drugs|MLS|23S_rRNA_methyltransferases|ERMR,0,0,30621.0,6582.0,0,928.0,335.0,0,876.0,10.0,226.0,0,0,0,276.0,0,4616.0,0,0,0,0,384.0,580.0,1258.0,0,0,8525.0,0,238.0,1673.0,0,83.0,139.0,5795.0,0,302.0,876.0,18.0,2647.0,0,0,53.0,91194.0,962.0,137.0,279056.0,290404.0,0,0,1550.0,88.0,0,0,0,191.0,0,0,0,0,0,0,52.0,102.0,0
MEG_2955|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,73.0,0,99471.0,38817.0,9057.0,305.0,0,44.0,204.0,0,4973.0,0,0,9535.0,3456.0,0,10147.0,0,0,0,0,53015.0,133.0,46.0,0,309.0,29721.0,112.0,48115.0,3178.0,66.0,11040.0,0,30399.0,0,36842.0,4911.0,0,11935.0,0,63.0,25017.0,69557.0,164.0,1575.0,43651.0,94047.0,0,0,175.0,61433.0,30542.0,0,0,0,12105.0,0,0,0,42753.0,78.0,0,756.0,0
MEG_7211|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,786.0,117.0,184993.0,33961.0,29250.0,814.0,278.0,486.0,392.0,375.0,130967.0,96.0,1493.0,26244.0,90042.0,0,251562.0,448.0,695.0,0,387.0,211340.0,432.0,805.0,435.0,366.0,23517.0,374.0,269616.0,272102.0,1148.0,27277.0,249.0,56084.0,0,170669.0,139627.0,619.0,30355.0,0,1205.0,113842.0,118094.0,425.0,9019.0,313935.0,133947.0,0,0,321.0,207269.0,53850.0,768.0,0,10809.0,28518.0,810.0,0,995.0,11922.0,1031.0,6314.0,3491.0,1086.0
