Run,Sample_name,Fastq-dump-command,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_source,lat_lon,Library Name,Library_Prep_Assay,Library_Type,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SampleID,SRA Study
SRR4425701,SRR4425701,fastq-dump --split-files --gzip SRR4425701,OTHER,252,13299085044,PRJNA339554,SAMN05597119,Metagenome or environmental,4844141761,COLORADO STATE UNIVERSITY,2015,public,SRX2247627,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryResistomeUMID,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryResistomeUMID,PoultryD,SRP091614
SRR4425702,SRR4425702,fastq-dump --split-files --gzip SRR4425702,OTHER,252,11754516060,PRJNA339554,SAMN05597118,Metagenome or environmental,4452101071,COLORADO STATE UNIVERSITY,2015,public,SRX2247628,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryResistomeUMIC,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryResistomeUMIC,PoultryC,SRP091614
SRR4425703,SRR4425703,fastq-dump --split-files --gzip SRR4425703,OTHER,252,12814985988,PRJNA339554,SAMN05597117,Metagenome or environmental,4837902883,COLORADO STATE UNIVERSITY,2015,public,SRX2247629,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryResistomeUMIB,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryResistomeUMIB,PoultryB,SRP091614
SRR4425704,SRR4425704,fastq-dump --split-files --gzip SRR4425704,OTHER,252,14119491708,PRJNA339554,SAMN05597116,Metagenome or environmental,5221547198,COLORADO STATE UNIVERSITY,2015,public,SRX2247630,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryResistomeUMIA,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryResistomeUMIA,PoultryA,SRP091614
SRR4425705,SRR4425705,fastq-dump --split-files --gzip SRR4425705,OTHER,252,11118897972,PRJNA339554,SAMN05597115,Metagenome or environmental,4090196314,COLORADO STATE UNIVERSITY,2015,public,SRX2247631,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefResistomeUMID,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefResistomeUMID,BeefD,SRP091614
SRR4425706,SRR4425706,fastq-dump --split-files --gzip SRR4425706,OTHER,252,12278264796,PRJNA339554,SAMN05597114,Metagenome or environmental,4401619319,COLORADO STATE UNIVERSITY,2015,public,SRX2247632,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefResistomeUMIC,pre-sequencing capture of resistance and virulence genes with use of unique molecular tags,TE-UMI,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefResistomeUMIC,BeefC,SRP091614
SRR4425659,SRR4425659,fastq-dump --split-files --gzip SRR4425659,OTHER,252,19428995880,PRJNA339554,SAMN05597104,Metagenome or environmental,7058670074,COLORADO STATE UNIVERSITY,2015,public,SRX2247585,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineResistomeA,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineResistomeA,SwineA,SRP091614
SRR4425660,SRR4425660,fastq-dump --split-files --gzip SRR4425660,OTHER,252,15138066384,PRJNA339554,SAMN05597105,Metagenome or environmental,5417512144,COLORADO STATE UNIVERSITY,2015,public,SRX2247586,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineResistomeB,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineResistomeB,SwineB,SRP091614
SRR4425661,SRR4425661,fastq-dump --split-files --gzip SRR4425661,OTHER,252,13788956664,PRJNA339554,SAMN05597106,Metagenome or environmental,4921637720,COLORADO STATE UNIVERSITY,2015,public,SRX2247587,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineResistomeC,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineResistomeC,SwineC,SRP091614
SRR4425662,SRR4425662,fastq-dump --split-files --gzip SRR4425662,OTHER,252,17746459164,PRJNA339554,SAMN05597107,Metagenome or environmental,6284057779,COLORADO STATE UNIVERSITY,2015,public,SRX2247588,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineResistomeD,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineResistomeD,SwineD,SRP091614
SRR4425663,SRR4425663,fastq-dump --split-files --gzip SRR4425663,OTHER,252,16679861604,PRJNA339554,SAMN05597108,Metagenome or environmental,6048618605,COLORADO STATE UNIVERSITY,2015,public,SRX2247589,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPResistomeA,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPResistomeA,WWTPA,SRP091614
SRR4425664,SRR4425664,fastq-dump --split-files --gzip SRR4425664,OTHER,252,14477796648,PRJNA339554,SAMN05597109,Metagenome or environmental,5145231178,COLORADO STATE UNIVERSITY,2015,public,SRX2247590,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPResistomeB,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPResistomeB,WWTPB,SRP091614
SRR4425665,SRR4425665,fastq-dump --split-files --gzip SRR4425665,OTHER,252,16913681316,PRJNA339554,SAMN05597110,Metagenome or environmental,6106191859,COLORADO STATE UNIVERSITY,2015,public,SRX2247591,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPResistomeC,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPResistomeC,WWTPC,SRP091614
SRR4425666,SRR4425666,fastq-dump --split-files --gzip SRR4425666,OTHER,252,14841822996,PRJNA339554,SAMN05597111,Metagenome or environmental,5279937772,COLORADO STATE UNIVERSITY,2015,public,SRX2247592,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPResistomeD,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPResistomeD,WWTPD,SRP091614
SRR4425710,SRR4425710,fastq-dump --split-files --gzip SRR4425710,OTHER,252,16230456900,PRJNA339554,SAMN05597103,Metagenome or environmental,5860431939,COLORADO STATE UNIVERSITY,2015,public,SRX2247636,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryResistomeD,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryResistomeD,PoultryD,SRP091614
SRR4425711,SRR4425711,fastq-dump --split-files --gzip SRR4425711,OTHER,252,15195762792,PRJNA339554,SAMN05597102,Metagenome or environmental,5505988221,COLORADO STATE UNIVERSITY,2015,public,SRX2247637,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryResistomeC,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryResistomeC,PoultryC,SRP091614
SRR4425712,SRR4425712,fastq-dump --split-files --gzip SRR4425712,OTHER,252,16350303564,PRJNA339554,SAMN05597099,Metagenome or environmental,5845515683,COLORADO STATE UNIVERSITY,2015,public,SRX2247638,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefResistomeD,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefResistomeD,BeefD,SRP091614
SRR4425713,SRR4425713,fastq-dump --split-files --gzip SRR4425713,OTHER,252,19413992052,PRJNA339554,SAMN05597098,Metagenome or environmental,6999838915,COLORADO STATE UNIVERSITY,2015,public,SRX2247639,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefResistomeC,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefResistomeC,BeefC,SRP091614
SRR4425714,SRR4425714,fastq-dump --split-files --gzip SRR4425714,OTHER,252,17285504544,PRJNA339554,SAMN05597101,Metagenome or environmental,6107490779,COLORADO STATE UNIVERSITY,2015,public,SRX2247640,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryResistomeB,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryResistomeB,PoultryB,SRP091614
SRR4425715,SRR4425715,fastq-dump --split-files --gzip SRR4425715,OTHER,252,19929636216,PRJNA339554,SAMN05597100,Metagenome or environmental,7080744789,COLORADO STATE UNIVERSITY,2015,public,SRX2247641,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryResistomeA,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryResistomeA,PoultryA,SRP091614
SRR4425718,SRR4425718,fastq-dump --split-files --gzip SRR4425718,OTHER,252,16574808852,PRJNA339554,SAMN05597097,Metagenome or environmental,5995856719,COLORADO STATE UNIVERSITY,2015,public,SRX2247644,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefResistomeB,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefResistomeB,BeefB,SRP091614
SRR4425719,SRR4425719,fastq-dump --split-files --gzip SRR4425719,OTHER,252,14460923484,PRJNA339554,SAMN05597096,Metagenome or environmental,5036247403,COLORADO STATE UNIVERSITY,2015,public,SRX2247645,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefResistomeA,pre-sequencing capture of resistance and virulence genes |  standard library prep,TE,PAIRED,other,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefResistomeA,BeefA,SRP091614
SRR4425656,SRR4425656,fastq-dump --split-files --gzip SRR4425656,OTHER,252,9561021876,PRJNA339554,SAMN05597078,Metagenome or environmental,3447101664,COLORADO STATE UNIVERSITY,2015,public,SRX2247582,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPMetagenomeC,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPMetagenomeC,WWTPC,SRP091614
SRR4425681,SRR4425681,fastq-dump --split-files --gzip SRR4425681,OTHER,252,10732751316,PRJNA339554,SAMN05597073,Metagenome or environmental,3872876151,COLORADO STATE UNIVERSITY,2015,public,SRX2247607,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineMetagenomeB,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineMetagenomeB,SwineB,SRP091614
SRR4425682,SRR4425682,fastq-dump --split-files --gzip SRR4425682,OTHER,252,13935127248,PRJNA339554,SAMN05597072,Metagenome or environmental,4970418801,COLORADO STATE UNIVERSITY,2015,public,SRX2247608,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineMetagenomeA,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineMetagenomeA,SwineA,SRP091614
SRR4425683,SRR4425683,fastq-dump --split-files --gzip SRR4425683,OTHER,252,9169121808,PRJNA339554,SAMN05597071,Metagenome or environmental,3233316192,COLORADO STATE UNIVERSITY,2015,public,SRX2247609,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryMetagenomeD,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryMetagenomeD,PoultryD,SRP091614
SRR4425684,SRR4425684,fastq-dump --split-files --gzip SRR4425684,OTHER,252,10032808464,PRJNA339554,SAMN05597070,Metagenome or environmental,3492363175,COLORADO STATE UNIVERSITY,2015,public,SRX2247610,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryMetagenomeC,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryMetagenomeC,PoultryC,SRP091614
SRR4425685,SRR4425685,fastq-dump --split-files --gzip SRR4425685,OTHER,252,11313526644,PRJNA339554,SAMN05597069,Metagenome or environmental,3940619895,COLORADO STATE UNIVERSITY,2015,public,SRX2247611,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryMetagenomeB,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryMetagenomeB,PoultryB,SRP091614
SRR4425686,SRR4425686,fastq-dump --split-files --gzip SRR4425686,OTHER,252,12053724984,PRJNA339554,SAMN05597068,Metagenome or environmental,4319548862,COLORADO STATE UNIVERSITY,2015,public,SRX2247612,USA,North America,USA,Gallus gallus,Illumina HiSeq 2500,Poultry operation,not collected,PoultryMetagenomeA,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,PoultryMetagenomeA,PoultryA,SRP091614
SRR4425687,SRR4425687,fastq-dump --split-files --gzip SRR4425687,OTHER,252,11929426992,PRJNA339554,SAMN05597067,Metagenome or environmental,4266907555,COLORADO STATE UNIVERSITY,2015,public,SRX2247613,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefMetagenomeD,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefMetagenomeD,BeefD,SRP091614
SRR4425688,SRR4425688,fastq-dump --split-files --gzip SRR4425688,OTHER,252,3675760200,PRJNA339554,SAMN05597066,Metagenome or environmental,1200406060,COLORADO STATE UNIVERSITY,2015,public,SRX2247614,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefMetagenomeC,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefMetagenomeC,BeefC,SRP091614
SRR4425689,SRR4425689,fastq-dump --split-files --gzip SRR4425689,OTHER,252,3575280240,PRJNA339554,SAMN05597065,Metagenome or environmental,1105931782,COLORADO STATE UNIVERSITY,2015,public,SRX2247615,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefMetagenomeB,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefMetagenomeB,BeefB,SRP091614
SRR4425690,SRR4425690,fastq-dump --split-files --gzip SRR4425690,OTHER,252,10098794160,PRJNA339554,SAMN05597064,Metagenome or environmental,3564411236,COLORADO STATE UNIVERSITY,2015,public,SRX2247616,USA,North America,USA,Bos taurus,Illumina HiSeq 2500,Beef feedlot,not collected,BeefMetagenomeA,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,BeefMetagenomeA,BeefA,SRP091614
SRR4425691,SRR4425691,fastq-dump --split-files --gzip SRR4425691,OTHER,252,4248190044,PRJNA339554,SAMN05597077,Metagenome or environmental,1361502554,COLORADO STATE UNIVERSITY,2015,public,SRX2247617,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPMetagenomeB,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPMetagenomeB,WWTPB,SRP091614
SRR4425692,SRR4425692,fastq-dump --split-files --gzip SRR4425692,OTHER,252,10837249416,PRJNA339554,SAMN05597076,Metagenome or environmental,4025718163,COLORADO STATE UNIVERSITY,2015,public,SRX2247618,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPMetagenomeA,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPMetagenomeA,WWTPA,SRP091614
SRR4425694,SRR4425694,fastq-dump --split-files --gzip SRR4425694,OTHER,252,9440398800,PRJNA339554,SAMN05597079,Metagenome or environmental,3422379734,COLORADO STATE UNIVERSITY,2015,public,SRX2247620,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPMetagenomeD,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPMetagenomeD,WWTPD,SRP091614
SRR4425695,SRR4425695,fastq-dump --split-files --gzip SRR4425695,OTHER,252,4337480448,PRJNA339554,SAMN05597074,Metagenome or environmental,1360081204,COLORADO STATE UNIVERSITY,2015,public,SRX2247621,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineMetagenomeC,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineMetagenomeC,SwineC,SRP091614
SRR4425696,SRR4425696,fastq-dump --split-files --gzip SRR4425696,OTHER,252,10394700120,PRJNA339554,SAMN05597075,Metagenome or environmental,3653514499,COLORADO STATE UNIVERSITY,2015,public,SRX2247622,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineMetagenomeD,shotgun metagenomics with standard library prep,shotgun,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineMetagenomeD,SwineD,SRP091614
SRR4425671,SRR4425671,fastq-dump --split-files --gzip SRR4425671,OTHER,252,11262342672,PRJNA339554,SAMN05597092,Metagenome or environmental,4087363507,COLORADO STATE UNIVERSITY,2015,public,SRX2247597,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPMetagenomeUMIA,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPMetagenomeUMIA,WWTPA,SRP091614
SRR4425672,SRR4425672,fastq-dump --split-files --gzip SRR4425672,OTHER,252,10956907080,PRJNA339554,SAMN05597093,Metagenome or environmental,3967893131,COLORADO STATE UNIVERSITY,2015,public,SRX2247598,USA,North America,USA,Homo sapiens,Illumina HiSeq 2500,Wastewater treatment plant,not collected,WWTPMetagenomeUMIB,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,WWTPMetagenomeUMIB,WWTPB,SRP091614
SRR4425673,SRR4425673,fastq-dump --split-files --gzip SRR4425673,OTHER,252,13273388604,PRJNA339554,SAMN05597090,Metagenome or environmental,4769201329,COLORADO STATE UNIVERSITY,2015,public,SRX2247599,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineMetagenomeUMIC,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineMetagenomeUMIC,SwineC,SRP091614
SRR4425674,SRR4425674,fastq-dump --split-files --gzip SRR4425674,OTHER,252,11281632516,PRJNA339554,SAMN05597091,Metagenome or environmental,4073378434,COLORADO STATE UNIVERSITY,2015,public,SRX2247600,USA,North America,USA,Sus scrofa,Illumina HiSeq 2500,Swine operation,not collected,SwineMetagenomeUMID,shotgun metagenomics with use of unique molecular tags,shotgun-UMI,PAIRED,RANDOM,METAGENOMIC,feces metagenome,ILLUMINA,2017-12-31T00:00:00Z,SwineMetagenomeUMID,SwineD,SRP091614
