SRR4425674.kraken.filtered.report,SRR4425663.kraken.filtered.report,SRR4425666.kraken.filtered.report,SRR4425692.kraken.filtered.report,SRR4425683.kraken.filtered.report,SRR4425709.kraken.filtered.report,SRR4425690.kraken.filtered.report,SRR4425688.kraken.filtered.report,SRR4425719.kraken.filtered.report,SRR4425681.kraken.filtered.report,SRR4425710.kraken.filtered.report,SRR4425687.kraken.filtered.report,SRR4425711.kraken.filtered.report,SRR4425661.kraken.filtered.report,SRR4425658.kraken.filtered.report,SRR4425660.kraken.filtered.report,SRR4425662.kraken.filtered.report,SRR4425697.kraken.filtered.report,SRR4425678.kraken.filtered.report,SRR4425718.kraken.filtered.report,SRR4425684.kraken.filtered.report,SRR4425659.kraken.filtered.report,SRR4425696.kraken.filtered.report,SRR4425689.kraken.filtered.report,SRR4425715.kraken.filtered.report,SRR4425694.kraken.filtered.report,SRR4425712.kraken.filtered.report,SRR4425695.kraken.filtered.report,SRR4425691.kraken.filtered.report,SRR4425664.kraken.filtered.report,SRR4425713.kraken.filtered.report,SRR4425703.kraken.filtered.report,SRR4425682.kraken.filtered.report,SRR4425685.kraken.filtered.report,SRR4425698.kraken.filtered.report,SRR4425714.kraken.filtered.report,SRR4425706.kraken.filtered.report,SRR4425665.kraken.filtered.report,SRR4425702.kraken.filtered.report,SRR4425701.kraken.filtered.report,SRR4425656.kraken.filtered.report,SRR4425686.kraken.filtered.report
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus suis",0.0,49.0,61.0,15.0,1.0,0.0,24.0,6.0,2961.0,124.0,5.0,33.0,1.0,2562.0,0.0,2897.0,4622.0,0.0,0.0,4543.0,1.0,3300.0,158.0,4.0,3.0,22.0,3975.0,34.0,6.0,27.0,14001.0,0.0,411.0,3.0,0.0,1.0,0.0,85.0,0.0,0.0,17.0,3.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus salivarius",0.0,26.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,12.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus mutans",0.0,24.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,8.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus parasanguinis",0.0,13.0,29.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,4.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus anginosus",0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus gordonii",0.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus lutetiensis",0.0,11.0,5.0,1.0,118.0,0.0,0.0,1.0,0.0,993.0,72.0,0.0,4.0,207.0,0.0,373.0,215.0,0.0,0.0,0.0,22.0,364.0,994.0,0.0,407.0,1.0,1.0,583.0,1.0,7.0,1.0,0.0,1314.0,9.0,0.0,4.0,0.0,18.0,0.0,0.0,0.0,775.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus gallolyticus",0.0,9.0,3.0,11.0,198.0,0.0,0.0,0.0,0.0,105.0,92.0,0.0,3.0,23.0,0.0,38.0,25.0,0.0,0.0,0.0,19.0,52.0,82.0,0.0,164.0,5.0,0.0,71.0,0.0,2.0,0.0,0.0,214.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,672.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus parauberis",0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus infantarius",0.0,6.0,12.0,4.0,100.0,0.0,0.0,0.0,0.0,249.0,86.0,0.0,1.0,89.0,0.0,174.0,109.0,0.0,0.0,0.0,5.0,151.0,235.0,0.0,172.0,2.0,0.0,146.0,0.0,15.0,0.0,0.0,404.0,2.0,0.0,3.0,0.0,15.0,0.0,0.0,3.0,153.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus pasteurianus",0.0,5.0,0.0,4.0,8.0,0.0,4.0,3.0,12.0,99.0,5.0,4.0,0.0,1.0,0.0,32.0,3.0,0.0,0.0,9.0,0.0,17.0,16.0,3.0,12.0,2.0,2.0,6.0,3.0,0.0,6.0,0.0,34.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,7.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus sanguinis",0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus pluranimalium",0.0,3.0,5.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,38.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,6.0,0.0,0.0,4.0,43.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus agalactiae",0.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,0.0,17.0,0.0,42.0,24.0,0.0,0.0,5.0,0.0,32.0,23.0,0.0,2.0,0.0,0.0,16.0,1.0,18.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,1.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus dysgalactiae",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus",0.0,92.0,150.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,4.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus|Lactococcus lactis",0.0,1131.0,1855.0,79.0,19.0,0.0,0.0,0.0,7.0,7.0,37.0,1.0,2.0,4.0,0.0,15.0,3.0,0.0,0.0,2.0,1.0,19.0,5.0,0.0,21.0,94.0,5.0,7.0,18.0,1674.0,0.0,0.0,20.0,12.0,0.0,6.0,0.0,920.0,0.0,0.0,83.0,57.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus|Lactococcus raffinolactis",0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,2.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae",0.0,15.0,9.0,2.0,7812.0,0.0,8.0,0.0,4.0,900.0,3188.0,7.0,3161.0,990.0,0.0,399.0,1216.0,0.0,0.0,3.0,22797.0,378.0,3701.0,1.0,5343.0,4.0,3.0,1931.0,3.0,20.0,2.0,0.0,1193.0,22432.0,0.0,3702.0,0.0,35.0,0.0,0.0,4.0,14327.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus",0.0,267.0,98.0,184.0,372741.0,0.0,209.0,84.0,173.0,30057.0,180294.0,316.0,157943.0,19437.0,0.0,12288.0,25415.0,0.0,0.0,93.0,968573.0,15732.0,117150.0,42.0,327419.0,145.0,128.0,67043.0,44.0,183.0,87.0,0.0,66761.0,1070529.0,0.0,206829.0,0.0,1256.0,0.0,0.0,90.0,827483.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus johnsonii",0.0,151.0,12.0,7.0,71174.0,0.0,3.0,4.0,5.0,17102.0,35027.0,2.0,45441.0,11755.0,0.0,8849.0,16254.0,0.0,0.0,0.0,271189.0,12986.0,64811.0,4.0,39610.0,17.0,0.0,39123.0,9.0,78.0,1.0,0.0,46123.0,283951.0,0.0,55933.0,0.0,863.0,0.0,0.0,1.0,124980.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus fermentum",0.0,80.0,34.0,74.0,6.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,92.0,73.0,0.0,0.0,21.0,37.0,0.0,0.0,3.0,12.0,0.0,9.0,0.0,95.0,0.0,0.0,65.0,22.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus salivarius",0.0,40.0,44.0,105.0,254836.0,0.0,3.0,1.0,3.0,153.0,100584.0,8.0,88088.0,21.0,0.0,57.0,40.0,0.0,0.0,3.0,735898.0,199.0,95.0,6.0,86548.0,83.0,0.0,223.0,21.0,16.0,3.0,0.0,905.0,508345.0,0.0,67062.0,0.0,66.0,0.0,0.0,53.0,366951.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus delbrueckii",0.0,38.0,44.0,129.0,766.0,0.0,1.0,0.0,2.0,53.0,836.0,0.0,626.0,58.0,0.0,67.0,50.0,0.0,0.0,1.0,1783.0,39.0,77.0,1.0,2163.0,87.0,0.0,84.0,27.0,35.0,1.0,0.0,57.0,1944.0,0.0,880.0,0.0,127.0,0.0,0.0,46.0,2116.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus mucosae",0.0,25.0,7.0,38.0,3.0,0.0,209.0,506.0,259.0,1628.0,6.0,617.0,5.0,59.0,0.0,1084.0,757.0,0.0,0.0,200.0,5.0,378.0,1845.0,90.0,32.0,30.0,284.0,78.0,6.0,22.0,331.0,0.0,951.0,10.0,0.0,6.0,0.0,63.0,0.0,0.0,20.0,16.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus ruminis",0.0,18.0,12.0,12.0,0.0,0.0,420.0,172.0,414.0,26.0,0.0,450.0,0.0,9.0,0.0,40.0,14.0,0.0,0.0,145.0,0.0,21.0,18.0,62.0,0.0,6.0,141.0,5.0,1.0,10.0,78.0,0.0,50.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus rhamnosus",0.0,17.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,8.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus gasseri",0.0,14.0,0.0,15.0,27.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,24.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,121.0,0.0,2.0,0.0,30.0,6.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,316.0,0.0,82.0,0.0,16.0,0.0,0.0,7.0,31.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus crispatus",0.0,10.0,2.0,23.0,202059.0,0.0,0.0,1.0,9.0,20.0,137659.0,9.0,92980.0,2.0,0.0,9.0,11.0,0.0,0.0,7.0,374289.0,37.0,19.0,2.0,278665.0,20.0,2.0,60.0,10.0,14.0,7.0,0.0,87.0,469319.0,0.0,124195.0,0.0,10.0,0.0,0.0,6.0,534021.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus amylovorus",0.0,9.0,0.0,13.0,1315.0,0.0,88.0,10.0,92.0,671.0,1076.0,132.0,1289.0,238.0,0.0,346.0,403.0,0.0,0.0,21.0,4339.0,338.0,1178.0,7.0,2432.0,4.0,34.0,541.0,3.0,4.0,3.0,0.0,1109.0,4846.0,0.0,1593.0,0.0,22.0,0.0,0.0,5.0,3295.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus sakei",0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus acidipiscis",0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus curvatus",0.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus acidophilus",0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,2.0,3.0,0.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,124.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,18.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella|Weissella cibaria",0.0,45.0,31.0,54.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,123.0,1.0,0.0,0.0,34.0,0.0,1.0,7.0,2.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,29.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Leuconostoc",0.0,30.0,27.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,15.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Leuconostoc|Leuconostoc gelidum",0.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,1.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Leuconostoc|Leuconostoc lactis",0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Leuconostoc|Leuconostoc citreum",0.0,2.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,14.0,0.0
